id,name,,parent_id,icon,created_at,updated_at
248,Starting Business,starting-business,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
249,Storytelling,storytelling,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
250,Strategic Management,strategic-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
251,Strategic Thinking,strategic-thinking,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
252,Strategy,strategy,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
253,Success,success,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
254,Supply Chain Management,supply-chain-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
255,Teamwork,teamwork,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
256,Telecommunications Networks,telecommunications-networks,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
257,Thinking,thinking,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
258,Tiktok,tiktok,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
259,Twilio,twilio,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
260,Venture Capital,venture-capital,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
261,Video Editing,video-editing,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
262,Videography,videography,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
263,Whatsapp,whatsapp,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
264,Workplace Wellness,workplace-wellness,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
265,Zimbra,zimbra,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
266,Chemistry,chemistry,,,2026-05-15 08:15:35,2026-05-15 08:15:35
267,Astronomy,astronomy,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
268,Astrophysics,astrophysics,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
269,Climate Change,climate-change,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
270,Earth Sciences,earth-sciences,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
271,Energy,energy,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
